,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
1275,2020S008969,27/06/2020,14:10:00,CALL. BRUJAS / CALL. HACIENDA DE PAVONES,34,MORATALAZ,Caída,Clear,Bicicleta,Conductor,De 45 a 49 años,Mujer,7.0,40.39924373301377,-3.628377985280827,N,
1276,2020S009015,27/06/2020,9:40:00,"AVDA. POBLADOS, 22",22,LATINA,Alcance,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,,40.38987474053389,-3.7674467006353045,N,
1277,2020S009032,29/06/2020,16:48:00,CALL. CALLEJO / TRVA. PALOMERAS,6,PUENTE DE VALLECAS,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 10 a 14 años,Hombre,1.0,40.38957761217062,-3.670825667735935,N,
1278,2020S009040,22/06/2020,20:15:00,"CALL. NEVADO DEL CUMBAL, 1",1,HORTALEZA,Caída,Clear,Bicicleta,Conductor,De 15 a 17 años,Hombre,2.0,40.46900830170401,-3.63138298437302,N,
1279,2020S009043,29/06/2020,20:20:00,CALL. CABEZA MESADA / CALL. TINEO,11B,VILLA DE VALLECAS,Atropello a persona,Clear,Bicicleta,Conductor,De 15 a 17 años,Hombre,14.0,40.3760311801611,-3.6280206944948374,N,
1280,2020S009043,29/06/2020,20:20:00,CALL. CABEZA MESADA / CALL. TINEO,11B,VILLA DE VALLECAS,Atropello a persona,Clear,Bicicleta,Peatón,De 45 a 49 años,Mujer,2.0,40.3760311801611,-3.6280206944948374,N,
1281,2020S009047,29/06/2020,20:45:00,GTA. GENERAL ALVAREZ DE CASTRO / CALL. GENERAL ALVAREZ DE CASTRO,3,CHAMBERÍ,Colisión lateral,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 18 a 20 años,Hombre,,40.43723804628397,-3.7024213333605562,N,
1282,2020S009071,27/06/2020,21:30:00,PASEO. RECOLETOS / CALL. RECOLETOS,14,SALAMANCA,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Mujer,1.0,40.42251702861564,-3.691075863322588,N,
1283,2020S009078,29/06/2020,19:45:00,"CALL. PRINCIPE DE VERGARA, 108",108,CHAMARTÍN,Colisión lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Mujer,5.0,40.439074265613066,-3.678728435099075,N,
1284,2020S009086,27/06/2020,18:25:00,"CALL. GINZO DE LIMIA, 33",33,FUENCARRAL-EL PARDO,Atropello a persona,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,14.0,40.47818959519822,-3.7041880699409004,N,
